amount;unit;flow;name;location
0.28;EUR2005;b2c6db8a-b305-4413-a9c3-5460417f48de;aluminium oxide production;IAI Area, Asia, without China and GCC
0.107;EUR2005;d69294d7-8d64-4915-a896-9996a014c410;electricity voltage transformation from medium to low voltage;IE
265.0;EUR2005;148b552a-c50b-465e-84f7-367bda16f04a;sawing and planing, azobe, air dried;RoW
0.0106;EUR2005;dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b;heat production, hard coal coke, stove 5-15kW;Europe without Switzerland
160.00000000000009;EUR2005;2c3a5ee5-59d7-4b44-8403-9045dbf5d105;market for sawnwood, lath, softwood, raw, dried (u=10%);RoW
0.4730000000000001;EUR2005;f5707bdf-f7e2-479b-b3ea-99c04de8a927;market for inorganic nitrogen fertiliser, as N;XK
0.000397;EUR2005;c5adb1fb-872e-4446-a3bb-c4b61aa4bd45;tap water production, underground water without treatment;IN
1.34;EUR2005;d0cf73b3-5bc9-448e-8285-650adc0a57eb;bisphenol A production, powder;RER
32237621.56637421;EUR2005;7473b8ec-7773-4af7-9547-bb1c31bf6877;mine construction, underground, non-ferrous metal;GLO
1.435641566535259;EUR2005;5f4dc8fc-6797-4455-b1a3-040b3beaefc1;fish curing, small fish;RoW
160.0;EUR2005;1458c180-5333-475e-88d2-7886d76e779e;lath, softwood, raw, air drying to u=20%;RoW
20.96;EUR2005;5664f63a-1998-4680-bf9d-608ca7360b2a;uranium mine operation, open cast;RoW
1759.4101177801695;EUR2005;2b1da5c4-4ee4-4054-b66b-123aa9ca1ddd;market for ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts;GLO
0.888591707019944;EUR2005;68982c18-158b-4166-a54a-8321bfb0cc24;petroleum slack wax production, petroleum refinery operation;Europe without Switzerland
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hydro, run-of-river;IN-JH
63000000.0;EUR2005;99714f4c-72ca-4ad8-8998-9564f8c35bea;power block installation, solar thermal parabolic trough, 50 MW;ZA
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hard coal;CN-ZJ
0.026;EUR2005;0ace02fa-eca5-482d-a829-c18e46a52db4;market for transport, freight train;IN
0.059093440629606;EUR2005;d4591183-a1ce-4c6d-80fa-761edfb78aec;market for iron sinter;GLO
860.0;EUR2005;6a5c8503-639b-4251-988b-07548f7d658c;market for computer, laptop;GLO
0.91;EUR2005;d11b6468-c23b-4139-bd97-2dd8542a7ead;polystyrene foam slab for perimeter insulation;CH
1.320656725;EUR2005;e28d7a4d-fb38-4f5e-aac0-359ecef77b45;market for orthophthalic acid based unsaturated polyester resin;GLO
265.0;EUR2005;631a00c8-e830-482f-846b-2114eb7f46e7;market for sawnwood, board, hardwood, dried (u=10%), planed;Europe without Switzerland
0.188;EUR2005;7c4dafff-fe18-45c0-92e4-857950032abb;market for inorganic potassium fertiliser, as K2O;CR
0.37643854753308;EUR2005;db9e356b-f056-4ddd-b766-e65d1f69dfb4;market for lead concentrate stockpiling;GLO
0.528;EUR2005;59465644-756c-4ab8-b892-63eb6e0f3ce8;sodium sulfide production;GLO
0.04529795493953787;EUR2005;0826be50-8d6d-4f84-bcd4-6dad817586e6;market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO3, R134a refrigerant, freezing;GLO
1975.0;EUR2005;b4100a1f-4f86-4652-abf0-b877046c8f48;sound insulation construction, heat and power co-generation unit, 160kW electrical;RER
0.10699999999999998;EUR2005;d69294d7-8d64-4915-a896-9996a014c410;market for electricity, low voltage;CN-ECGC
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, natural gas, combined cycle power plant;HU
0.8814902297867955;EUR2005;fa626da2-499e-4259-ba0a-c4e8f34927a5;market for sodium aluminate, powder;GLO
0.47299999999999986;EUR2005;f5707bdf-f7e2-479b-b3ea-99c04de8a927;market for inorganic nitrogen fertiliser, as N;NO
560.1199999999999;EUR2005;8d0233ab-42ef-4f04-95d6-bfacaee3ba5e;catalytic converter production, oxidation, 20 litre;RoW
4227644218.0;EUR2005;13e34793-c48c-4eb4-b750-8dd8ff59d3b9;silicone factory construction;RER
0.0977;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;electricity production, hydro, pumped storage;BA
0.09769999999999998;EUR2005;66c93e71-f32b-4591-901c-55395db5c132;market for electricity, high voltage;AT
0.22;EUR2005;0201ee86-f71b-4457-8fe8-79f3ed720b07;wheat production;IN
19.09;EUR2005;fa61e123-954d-4c67-a47a-215cc17a7f00;NMC111 oxide production, for Li-ion battery;CN
0.92;EUR2005;8cb6c7f7-c5c7-4507-91ea-8094de0dcfe8;market for stibnite concentrate;GLO
11.7;EUR2005;5ab6bfdc-32e9-4061-82b6-ac18962a7885;silicon hydrochloration;GLO
1.0;EUR2005;2d03bb2c-517e-4184-a3a9-8742107a3f46;market for base plaster;GLO
100000000.0;EUR2005;6abd94ee-c078-4163-8ba0-acbc45aa9423;phosphoric acid factory construction, fertiliser grade;US
0.02125737009741565;EUR2005;08b50381-c9ae-49ae-b279-5495b9f8f14a;operation, computer, desktop, with cathode ray tube display, office use;RoW
7.727563384802282;EUR2005;7d7595a5-2e53-41d6-a5c8-98523945c0b3;market for spiral-seam duct, steel, DN 400;GLO
39291000.0;EUR2005;40f4e275-e29b-421e-a855-2b22c4082407;wooden board factory construction, cement bonded boards;RER
1.291355895036364;EUR2005;b38b6557-fb95-4f02-820c-2902c294998e;market for acetyl chloride;GLO
27.08981247128389;EUR2005;1753f592-1686-4ccd-a522-3fce6687572e;market for printed wiring board, for power supply unit, desktop computer, Pb containing;GLO
0.12;EUR2005;dadc7057-9041-4fae-893c-20aba9725f29;maize grain production, second crop;BR-TO
