Filename;ActivityName;Location;ReferenceProduct
63eff3fc-3c56-585c-916c-aa81cd0e6ec1_af9fc27e-0952-4636-95ea-a36ea7f54475.spold;paper production, woodcontaining, lightweight coated;RER;paper, woodcontaining, lightweight coated
814d509c-2de9-5707-8551-e9292991bf7b_e98c4987-0c27-4ad8-aa06-568bea573460.spold;sugar beet pulp to generic market for energy feed;GLO;sugar beet pulp
a31a0abf-e356-51ec-89b9-3712e5c64efa_c264fa53-15f7-41fd-b3ee-d03d467464d0.spold;chloronitrobenzene production;RER;chloronitrobenzene
435670a5-8415-5bf6-942f-bfbb51da7938_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04.spold;3-methylpyridine production;RoW;3-methylpyridine
42f18f5f-ceab-52a9-843b-1af2d418df27_b73c05e7-72a9-40af-b33e-771c6964f4ce.spold;market for wheat flour mix;GLO;wheat flour mix
7d339a6b-975c-5e26-bdd2-f0f17fcc316d_adde3ac1-7879-4737-b767-7358681849b5.spold;treatment of nickel smelter slag, residual material landfill;CH;nickel smelter slag
b8ac72f5-6290-50ed-af2d-0f37df3f90a1_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CN-FJ;electricity, low voltage
84a99d88-3e49-57b6-b9cc-dba165158239_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;GB;electricity, low voltage
b80cfdfc-2554-5f0b-b328-bb4a6b8e1690_f43c95e7-40e6-4ba9-9ab1-d1bc10d3fa79.spold;nutrient supply from compost;GLO;compost
f6f7bdab-b6cf-52fe-9d0e-a7e13f63bc1b_a498d9fb-9402-4374-b2e2-3f85f5d98f43.spold;ammonium nitrate production;CN;ammonium nitrate
1315fe4f-537e-5e93-af99-a03bb19f947d_f31957b8-d8b1-4a37-8044-5c15c3440857.spold;bamboo pole production;PH;bamboo pole
9769e885-09bc-5b98-9f03-d70d4129dcb0_76736f35-6812-4b73-967d-010efeda851f.spold;market for aluminium removed by milling, average;GLO;aluminium removed by milling, average
c06b62c4-f5fe-53b8-bd9e-5f554bdaced3_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CA-BC;electricity, high voltage
aa5454f6-02a3-53fc-a7e3-c9f1b44dcfa5_8d7c013a-5aca-44d7-8fc4-193844d2953a.spold;market for waste packaging paper;DE;waste packaging paper
834ddb1b-d754-5f27-aca1-258e474d4cdb_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;MU;electricity, medium voltage
f426ec83-4849-5d34-9734-afb8115a2837_0eaf51a0-47d0-4a4a-a2be-51e740318456.spold;treatment of sewage sludge, 97% water, WWT[U], WW from lorry production, landfarming;CH;sewage sludge, 97% water, WWT[U], WW from lorry production
723331c8-f411-510f-8bab-b8d9208d76b7_775234b1-0e93-4cdb-9cd2-db60577e1a5a.spold;solar collector system installation, evacuated tube collector, one-family house, combined system;CH;solar collector system, with evacuated tube collector, one-family house, combined system
f9a89049-1cb4-57e8-93b4-fde1f5450e73_2f6880f1-d79c-436d-9fe2-5a589d0e504b.spold;potassium nitrate production;RNA;potassium nitrate
bbf61557-8344-5ed2-b94b-4924aa495164_382471d0-afca-4f0d-bec6-f0bfe2c28225.spold;treatment of scrap printed wiring boards, shredding and separation;CA-QC;used printed wiring boards
88ab7feb-361f-594e-9111-4267d96a0990_845b9f66-4a29-45f9-85d0-8b7fc8df73e4.spold;market for photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof;GLO;photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof
25a2eaaa-1913-5871-8086-bf91d521e77c_dcd549ef-071e-4eb7-9f2c-2cd908f16701.spold;foaming agent production;GLO;foaming agent
b66fa29b-7b40-56af-bf68-83e38625fcbb_777bc26c-02e7-441e-a487-e4d4a87dae49.spold;treatment of waste emulsion paint, inert material landfill;CH;waste emulsion paint
5762b723-69d6-589b-9f39-d5e58e65a33b_a40ce634-bd84-41fa-81e7-1cf02630df8c.spold;operation, reefer, freezing, 40-foot, high-cube, R134a as refrigerant;GLO;operation, reefer, freezing
505e8762-06b2-5c7a-854b-fd40226fe0d8_36dc50ef-017c-4d24-af51-f12ef802095e.spold;transport, pipeline, offshore, long distance, natural gas;IR;transport, pipeline, offshore, long distance, natural gas
adf370f6-58e8-5c87-a2b0-5eb89d5a2320_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, lignite;CA-NS;electricity, high voltage
951d72bf-6f83-532f-9152-382e46855614_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from GR;AL;electricity, high voltage
6cab3386-18ee-5df0-bd05-fbe898a052df_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;CA-NU;electricity, high voltage
0fde45e3-0ff4-55b4-8e1e-1f7452a3abac_6095f789-4cd5-4bf5-94fa-5497ed4ac83f.spold;treatment of residue from shredder fraction from manual dismantling, municipal waste incineration;CH;residue from shredder fraction from manual dismantling
fe4fa512-4684-55e9-9824-286a6e102352_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;HT;electricity, low voltage
3dd09be5-e991-5057-a9bd-5ef7f639bf55_3fc068d9-71cf-5f55-8e15-1675bbc38caf.spold;market for non-ionic surfactant;GLO;non-ionic surfactant
a42d006f-94e5-5f7e-82f8-6fcf9c6038d2_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;IN-MP;electricity, high voltage
4eb53115-4f79-5b2d-b64f-2672907d2d51_af9351f4-34ee-48a2-a1df-da7ffa2875b5.spold;furnace production, logs, hardwood storage area, 30kW;CH;furnace, logs, hardwood storage area, 30kW
9e573a0a-4dd8-505e-8640-7b7a243bc41e_a4440cda-ba49-464a-abf5-7e4c8d186b8b.spold;fatty alcohol production, from coconut oil;RoW;fatty alcohol
f1cf01e6-c811-5631-8e0b-da4d7c72c29a_e7a3abb3-289e-4246-b875-6aabe1a7ad79.spold;market for compressed air, 1000 kPa gauge;RER;compressed air, 1000 kPa gauge
3db0cebb-bc49-5e2f-a3bf-c5d8321a9c10_fb553b5b-bed9-4fab-a99f-0f046d20b36c.spold;silicon production, single crystal, Czochralski process, electronics;RER;silicon, single crystal, Czochralski process, electronics
0c60c9c8-a3c0-5685-b340-364910078a6d_e914a3ee-f372-4f94-bd45-b40d926918b8.spold;market for lime, from liquid packaging board production;GLO;lime, from liquid packaging board production
f9414111-c821-5c93-a35d-3860f2cedc16_d11b6468-c23b-4139-bd97-2dd8542a7ead.spold;market for polystyrene foam slab for perimeter insulation;GLO;polystyrene foam slab for perimeter insulation
ce7974e8-2591-5bd3-b6b0-4e9d97002257_9c6b672a-661e-40c3-a9a0-902b33cc6871.spold;market for mandarin;RoW;mandarin
5231f282-32fa-5c02-82ac-e1a33276e6ab_30893fd0-6787-4e02-a827-0d89fa153f36.spold;treatment of garden biowaste, home composting in heaps;FR;biowaste, garden waste
8bfe8b2c-f36f-54b1-841f-f79f68ca9e1f_42baed81-24d1-4aed-a120-cc7d35ddac10.spold;market for waste paperboard;AL;waste paperboard
8136555b-f494-55ba-aab1-0fdd87d32c6c_33187006-ca03-4db5-bc5a-75a91024c3ef.spold;ceramic tile production;CH;ceramic tile
c6efe42c-29b5-57c8-9f69-88d56ac2748a_9cdb112b-0d90-4d76-9cec-412b0c67d8bb.spold;market for waste polyurethane;DK;waste polyurethane
9a2d96d2-d030-5f92-ae5d-3af023944519_eb211196-8882-4baf-9113-31229f23e6aa.spold;treatment of waste cement-fibre slab, collection for final disposal;RoW;waste cement-fibre slab
bd890dc0-d1c5-591b-bd38-3986f3204c8d_eb9320da-b68b-4034-a28f-91071dacf43e.spold;nuclear fuel element production, for pressure water reactor, UO2 4.0% & MOX;DE;nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX
311cebe6-99b8-5356-8ff7-93906fdbea57_15b406ac-24d1-4dff-937e-de4e38142a91.spold;market for used refrigeration machine, carbon dioxide, liquid as refrigerant;GLO;used refrigeration machine, carbon dioxide, liquid as refrigerant
2f15268e-5a3e-58a4-a21b-c98b9bb42b48_ff002d3b-b2e9-45f0-b34e-0130ffbbcf3c.spold;polyurethane production, flexible foam, MDI-based;RER;polyurethane, flexible foam
a955ea12-e5b2-54db-bd16-0d2ef32b8f29_5321a299-0c03-4bfc-9dda-d020456f6b2e.spold;market for inorganic phosphorus fertiliser, as P2O5;MX;inorganic phosphorus fertiliser, as P2O5
5b335cf9-7ef5-597a-9d49-6c5568c51415_46f10d01-11e9-4e24-b68e-920100c4878f.spold;catch crop growing, ryegrass-red&Egyptian clover-mixture, September-April, organic fertiliser 60 kg N, one cut;CH;ryegrass-red&Egyptian clover-mixture silage
